Year,City,Avg Temp C?,Avg Temp F?
1943,Memphis,16.53,61.754
1944,Memphis,16.58,61.844
1945,Memphis,16.28,61.304
1946,Memphis,16.9,62.42
1947,Memphis,15.89,60.602
1948,Memphis,16.08,60.944
1949,Memphis,16.8,62.24
1950,Memphis,16.09,60.962
1951,Memphis,16.47,61.646
1952,Memphis,16.71,62.078
1953,Memphis,17.08,62.744
1954,Memphis,17.45,63.41
1955,Memphis,16.62,61.916
1956,Memphis,16.96,62.528
1957,Memphis,16.65,61.97
1958,Memphis,15.33,59.594
1959,Memphis,16.44,61.592
1960,Memphis,15.58,60.044
1961,Memphis,15.87,60.566
1962,Memphis,16.42,61.556
1963,Memphis,15.94,60.692
1964,Memphis,16.48,61.664
1965,Memphis,16.75,62.15
1966,Memphis,15.81,60.458
1967,Memphis,16.06,60.908
1968,Memphis,15.55,59.99
1969,Memphis,15.84,60.512
1970,Memphis,16.13,61.034
1971,Memphis,16.5,61.7
1972,Memphis,16.28,61.304
1973,Memphis,16.79,62.222
1974,Memphis,16.39,61.502
1975,Memphis,16.4,61.52
1976,Memphis,15.43,59.774
1977,Memphis,16.55,61.79
1978,Memphis,15.7,60.26
1979,Memphis,15.33,59.594
1980,Memphis,16.31,61.358
1981,Memphis,16.32,61.376
1982,Memphis,16.39,61.502
1983,Memphis,15.77,60.386
1984,Memphis,16.48,61.664
1985,Memphis,16.23,61.214
1986,Memphis,17.18,62.924
1987,Memphis,16.89,62.402
1988,Memphis,16.13,61.034
1989,Memphis,15.84,60.512
1990,Memphis,17.45,63.41
1991,Memphis,17.12,62.816
1992,Memphis,16.19,61.142
1993,Memphis,16.09,60.962
1994,Memphis,16.57,61.826
1995,Memphis,16.53,61.754
1996,Memphis,16.19,61.142
1997,Memphis,16.09,60.962
1998,Memphis,18.06,64.508
1999,Memphis,17.56,63.608
2000,Memphis,16.97,62.546
2001,Memphis,16.9,62.42
2002,Memphis,16.91,62.438
2003,Memphis,16.42,61.556
2004,Memphis,16.91,62.438
2005,Memphis,17.13,62.834
2006,Memphis,17.34,63.212
2007,Memphis,17.7,63.86
2008,Memphis,16.38,61.484
2009,Memphis,16.47,61.646
2010,Memphis,16.85,62.33
2011,Memphis,17.17,62.906
2012,Memphis,17.99,64.382
2013,Memphis,17.93,64.274
